YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1949   -8.3   -3.1   -3.4   -5.9   -2.7    1.2    3.9    4.1    2.2   -2.1   -0.9   -1.6    -5.4    -4.0     3.1    -0.3   -1.64
1950   -2.1   -4.8   -4.9   -2.4   -1.5    1.4    3.8    5.9    4.4    2.8   -0.2   -5.7    -2.8    -2.9     3.7     2.3    0.07
1951  -10.4   -1.7   -8.3   -6.1   -2.5    1.9    2.3    4.8    2.3    0.8   -7.9  -10.8    -5.9    -5.6     3.0    -1.6   -2.54
1952   -8.5   -7.7   -8.3   -5.3   -1.6    3.6    4.4    3.5    2.3    0.7   -1.4   -5.8    -9.0    -5.1     3.8     0.5   -2.43
1953   -8.2   -6.6  -10.7   -9.5   -1.8    4.4    5.1    6.1    2.9    2.5    1.1   -0.1    -6.9    -7.3     5.2     2.2   -1.71
1954   -3.3   -2.2   -5.8   -2.4    0.7    2.2    5.6    4.6    3.3    0.4    0.1   -0.5    -1.9    -2.5     4.1     1.3    0.26
1955   -8.0   -7.0   -4.8   -4.6   -1.7    1.0    4.9    5.1    4.6   -0.7   -6.8   -6.8    -5.2    -3.7     3.7    -1.0   -1.54
1956   -3.9   -3.6   -3.5   -4.7   -1.0    1.9    5.6    3.8    2.0   -0.1   -0.5   -0.4    -4.8    -3.1     3.8     0.5   -0.90
1957   -2.4   -5.4   -4.3   -2.6   -1.1    1.8    3.7    5.2    3.3    2.3   -1.1   -6.5    -2.7    -2.7     3.6     1.5   -0.08
1958   -4.7   -6.0   -7.4   -4.3   -0.4    2.5    3.6    3.6    2.7    0.1   -1.5   -7.1    -5.7    -4.0     3.2     0.4   -1.53
1959  -11.3   -4.8   -4.2   -4.6   -0.5    2.6    4.5    4.8    1.8    0.9    0.4   -1.2    -7.7    -3.1     4.0     1.0   -1.46
1960   -7.2  -11.9   -2.3   -1.3    1.8    2.4    6.4    4.2    5.1   -2.3   -2.6   -7.4    -6.8    -0.6     4.3     0.1   -0.74
1961   -5.4   -7.8   -9.0   -9.0   -1.9    2.8    4.7    5.8    3.1    3.2   -0.6   -8.6    -6.9    -6.6     4.4     1.9   -1.79
1962   -9.4   -8.7  -17.6   -7.0  999.9   -0.1    3.3    2.6    2.2   -0.1   -1.7   -8.3    -8.9   -10.7     1.9     0.1   -4.38
1963  -13.1  -17.6  -13.0   -8.8    0.1    1.1    2.8    3.8    2.7    1.2   -5.6  -10.3   -13.0    -7.2     2.6    -0.6   -4.56
1964   -8.0   -5.9   -2.2   -4.5    0.4    1.4    4.7    3.9    2.7    1.0   -2.8   -2.0    -8.1    -2.1     3.3     0.3   -1.63
1965   -6.4   -8.1  -12.9   -3.5   -3.3    0.7    1.4    2.3    2.0   -1.0   -3.1   -7.6    -5.5    -6.6     1.5    -0.7   -2.83
1966  -12.8  -13.7  -11.6   -5.2   -3.6    1.7    3.9    3.3    0.7   -3.4   -3.1   -1.7   -11.4    -6.8     3.0    -1.9   -4.28
1967  -12.0   -5.0   -6.1   -4.5   -2.0    1.8    4.4    4.0    2.9   -2.0   -1.6  -10.9    -6.2    -4.2     3.4    -0.2   -1.82
1968  -13.7  -11.0  -13.5   -7.0   -3.8    0.6    3.2    3.5    0.7  999.9   -6.8   -9.9   -11.9    -8.1     2.4    -3.0   -5.14
1969   -8.3   -5.2  -10.4   -8.5   -1.2    1.2    5.9    5.1    3.7    1.3   -3.0   -3.4    -7.8    -6.7     4.1     0.7   -2.44
1970   -8.2  -15.3   -4.6   -6.2   -0.3    3.3    4.3    5.3    2.8    0.9   -4.2   -8.2    -9.0    -3.7     4.3    -0.2   -2.13
1971  -14.4   -4.6  -10.6   -6.2   -1.3    0.7    4.1    3.9    2.2   -1.7  999.9   -5.6    -9.1    -6.0     2.9    -1.2   -3.35
1972   -0.4   -4.0   -4.7   -6.1   -0.9    3.9    6.2    5.8    4.1    0.6   -0.9   -1.2    -3.3    -3.9     5.3     1.3   -0.17
1973   -3.0   -7.7   -6.8   -4.1   -0.6    3.7    6.5    4.8    2.9   -1.3   -7.8   -8.0    -4.0    -3.8     5.0    -2.1   -1.22
1974   -2.5   -3.3    0.3   -2.8   -0.5    3.4    4.7    4.9    4.0    1.4   -1.5   -2.6    -4.6    -1.0     4.3     1.3    0.01
1975   -7.2   -6.6   -5.6   -5.0   -1.1   -0.1    3.5    4.0    2.5   -1.7   -4.0  -11.8    -5.5    -3.9     2.5    -1.1   -1.99
1976   -9.2   -3.8   -2.4   -4.1    0.3    3.0    6.6    5.9    2.0   -0.1   -2.7   -3.9    -8.3    -2.1     5.2    -0.3   -1.36
1977   -6.5   -7.1  -12.3   -8.8   -2.0    0.1    2.6    4.5    2.2   -0.1   -1.4   -5.0    -5.8    -7.7     2.4     0.2   -2.73
1978  -12.8  -15.4   -9.5   -5.0   -1.3    2.1    3.7    5.1    1.2   -0.6   -3.3   -7.3   -11.1    -5.3     3.6    -0.9   -3.40
1979  -10.6   -7.4   -5.3   -6.8   -3.4    1.6    6.3    5.3    3.1    0.0   -2.2   -4.9    -8.4    -5.2     4.4     0.3   -2.23
1980   -7.5   -7.3   -6.8   -3.0   -1.5    2.8    4.1    5.7    3.1   -1.5   -6.9  -12.9    -6.6    -3.8     4.2    -1.8   -1.98
1981  -12.0   -3.2  -12.3   -6.5   -1.3    1.1    4.2  999.9    3.1    0.0   -1.4  -10.0    -9.4    -6.7     3.1     0.6   -3.10
1982  -12.0   -7.2   -3.6   -2.6   -2.0    0.1    4.2    2.7    0.8   -0.5   -2.4   -5.8    -9.7    -2.7     2.3    -0.7   -2.71
1983   -4.1   -6.4   -3.0   -2.9   -0.6    3.4    6.0    4.4    3.4   -0.7   -8.8  -11.6    -5.4    -2.2     4.6    -2.0   -1.26
1984   -4.5   -1.7   -7.5   -1.6   -0.1    2.7    3.8    4.9    3.6    1.3   -0.6    0.0    -5.9    -3.1     3.8     1.4   -0.94
1985   -5.3   -4.7   -4.9   -7.5   -1.5    0.4    4.8    4.4    2.7   -0.3   -2.8   -6.6    -3.3    -4.6     3.2    -0.1   -1.23
1986   -6.2   -9.8   -4.5   -6.7   -0.2    3.7    5.0    4.7    1.7   -0.1   -2.5   -6.2    -7.5    -3.8     4.5    -0.3   -1.79
