YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1951  -27.6  -22.5  -21.7  -16.3   -7.5    2.4    2.4    2.3   -2.7  -15.1  -22.9  -25.6   -24.5   -15.2     2.4   -13.6  -12.72
1952  -21.3  -23.7  -21.7  -18.3   -5.8    1.1    3.9    2.7   -4.0  -13.8  -17.6  -21.7   -23.5   -15.3     2.6   -11.8  -12.01
1953  -21.4  -25.5  -26.4  -16.5   -4.8    2.8    3.3    3.9   -2.8  -10.9  -15.4  -19.0   -22.9   -15.9     3.3    -9.7  -11.28
1954  -22.6  -18.7  -27.0  -17.5   -5.9    0.3    3.2    2.1   -4.1  -12.3  -17.8  -19.7   -20.1   -16.8     1.9   -11.4  -11.61
1955  -24.7  -25.8  -20.3  -17.7   -8.9    0.1    2.0    1.8   -2.3  -11.4  -19.5  -20.9   -23.4   -15.6     1.3   -11.1  -12.20
1956  -22.2  -21.9  -24.9  -17.2   -9.9    0.0    4.0    1.8   -5.9  -13.9  -16.9  -11.7   -21.7   -17.3     1.9   -12.2  -12.33
1957  -18.7  -22.8  -20.3  -18.7   -6.3    1.4    4.1    2.8   -3.9  -10.0  -16.2  -22.6   -17.7   -15.1     2.8   -10.0  -10.03
1958  -18.5  -23.6  -19.6  -16.3   -6.9    0.8    6.0    2.1   -5.7  -15.4  -21.9  -21.8   -21.6   -14.3     3.0   -14.3  -11.80
1959  -24.7  -23.9  -24.9  -16.2   -6.1    1.8    2.4    1.3   -4.9  -10.4  -17.9  -21.7   -23.5   -15.7     1.8   -11.1  -12.11
1960  -17.8  -25.3  -22.8  -16.4   -4.4    1.0    3.8    2.4   -4.2  -13.4  -19.5  -24.9   -21.6   -14.5     2.4   -12.4  -11.53
1961  -23.1  -27.0  -24.4  -17.5   -9.6    0.6    3.9    1.2   -4.2  -11.0  -16.5  -22.2   -25.0   -17.2     1.9   -10.6  -12.71
1962  -21.3  -21.4  -22.1  -17.4   -7.2   -0.2    5.0    1.8   -4.4  -13.1  -17.5  -21.3   -21.6   -15.6     2.2   -11.7  -11.67
1963  -23.9  -27.1  -23.1  -16.5   -7.6   -0.3    2.9    2.6   -5.4  -12.5  -21.3  -22.9   -24.1   -15.7     1.7   -13.1  -12.79
1964  -24.0  -24.3  -20.3  -16.6   -9.4    0.0    2.7    3.0   -5.2  -13.8  -20.7  -20.2   -23.7   -15.4     1.9   -13.2  -12.63
1965  -25.3  -20.4  -22.7  -15.1   -4.7    0.4    3.4    1.4   -4.5  -12.8  -14.8  -22.5   -22.0   -14.2     1.7   -10.7  -11.28
1966  -26.0  -24.8  -29.3  -18.1   -7.2    2.2    4.4    3.7   -3.2  -17.8  -21.3  -21.9   -24.4   -18.2     3.4   -14.1  -13.33
1967  -28.2  -27.6  -24.4  -16.3   -3.1    1.4    3.9    1.5   -2.4  -15.8  -20.5  -21.4   -25.9   -14.6     2.3   -12.9  -12.78
1968  -25.3  -26.7  -25.8  -17.3   -4.9    3.0    3.6    1.9   -6.0  -17.0  -21.7  -23.1   -24.5   -16.0     2.8   -14.9  -13.13
1969  -24.1  -26.3  -25.2  -21.5   -5.1    0.7    2.7    3.5   -4.1  -12.0  -18.5  -20.9   -24.5   -17.3     2.3   -11.5  -12.75
1970  -22.8  -28.7  -21.9  -17.4   -6.5    0.7    3.6    1.7   -2.8  -10.4  -20.5  -20.8   -24.1   -15.3     2.0   -11.2  -12.16
1971  -27.3  -20.6  -26.0  -16.4   -6.2    2.3    4.3    2.0   -5.5  -15.8  -24.0  -21.0   -22.9   -16.2     2.9   -15.1  -12.83
1972  -15.8  -26.0  -20.6  -20.7   -5.5    0.6    3.3    2.5   -3.1  -10.2  -14.1  -22.9   -20.9   -15.6     2.1    -9.1  -10.88
1973  -18.1  -28.1  -24.2  -17.9   -7.2    0.8    3.3    2.4   -5.4  -15.3  -21.8  -23.5   -23.0   -16.4     2.2   -14.2  -12.87
1974  -16.8  -23.3  -23.3  -17.5   -8.2   -0.3    4.3    2.9   -5.7  -12.2  -20.0  -23.7   -21.2   -16.3     2.3   -12.6  -11.97
