YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1942  999.9  999.9  999.9   -0.8    1.3    6.7    9.2    9.2    6.4    2.8    0.2   -0.9   999.9    -0.9     8.4     3.1    2.13
1943   -3.3   -2.1   -1.9    0.0    3.4    7.3   10.2    9.4    7.4    3.9    1.8    1.4    -2.1     0.5     9.0     4.4    2.93
1944   -0.4   -0.8   -1.2   -1.3    3.0    6.8    8.1    8.6    7.9    6.0    1.8    1.8     0.1     0.2     7.8     5.2    3.33
1945   -2.3   -1.6   -1.4    1.2    3.0    5.4   10.9    9.7    7.1    1.4    0.0   -2.5    -0.7     0.9     8.7     2.8    2.93
1946    0.6   -5.0   -1.6    0.8    3.1    7.8   11.0   10.7    9.3    3.7    0.2    1.9    -2.3     0.8     9.8     4.4    3.18
1947    0.9   -4.1   -4.8    0.3    2.1    7.3    9.7    9.4    7.6    3.3   -0.4   -1.8    -0.4    -0.8     8.8     3.5    2.77
1948   -3.7   -1.7   -2.2    1.1    4.1    5.7    9.7    8.3    7.3    3.8    1.2   -0.3    -2.4     1.0     7.9     4.1    2.65
1949   -2.3    0.1   -1.2    0.0    2.7    5.7    7.5    8.3    7.0    2.5    2.3   -0.9    -0.8     0.5     7.2     3.9    2.69
1950   -1.8   -1.8   -0.2    2.5    2.4    7.0    8.6   11.3    8.5    6.1    1.9   -0.4    -1.5     1.6     9.0     5.5    3.63

