YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    1.9    0.6   -2.7   -4.1   999.9   999.9   999.9    -0.1  999.90
1924   -1.1   -5.2   -5.4   -4.1   -0.5    2.4    6.5    6.9    3.5    1.0   -2.9   -2.9    -3.5    -3.3     5.3     0.5   -0.25
1925   -3.7   -3.5   -4.5   -1.2    0.6    3.5    4.7    5.8    3.9   -0.2   -3.3   -4.9    -3.4    -1.7     4.7     0.1   -0.07
1926   -2.2   -2.7   -6.2   -0.8   -0.2    2.9    5.8    5.4    2.0   -2.9   -1.3   -5.1    -3.3    -2.4     4.7    -0.7   -0.42
1927   -4.8   -2.6   -4.2   -5.7   -2.0    1.7    5.7    5.7    2.9   -1.6   -1.5   -3.9    -4.2    -4.0     4.4    -0.1   -0.96
1928   -3.8   -3.6   -3.9   -2.3   -1.0    1.6    3.8    4.4    3.4    1.0   -1.4   -2.5    -3.8    -2.4     3.3     1.0   -0.47
1929   -3.2   -0.3   -2.2   -3.5   -0.3    2.3    3.7    4.6    2.5   -2.1   -0.9   -0.2    -2.0    -2.0     3.5    -0.2   -0.16
1930   -3.5   -3.1   -5.2    0.5    1.1    5.0    5.7    7.0    4.0   -0.2   -3.2   -1.5    -2.3    -1.2     5.9     0.2    0.66
1931   -3.9   -4.5   -6.4   -0.6   -0.8    1.9    5.8    4.9    3.2   -2.3    1.7   -4.0    -3.3    -2.6     4.2     0.9   -0.21
1932   -4.8   -1.9   -3.8   -4.3    0.3    2.5    6.3    5.8    1.8   -0.7   -3.4   -2.3    -3.6    -2.6     4.9    -0.8   -0.52
1933   -1.1   -5.2   -3.5   -4.9   -0.4    4.0    5.8    7.0    5.2   -0.7   -0.5   -0.9    -2.9    -2.9     5.6     1.3    0.28
1934   -4.6   -7.4   -3.8   -4.9   -0.8    3.0    6.5    7.4    7.7    1.6   -1.7    0.0    -4.3    -3.2     5.6     2.5    0.17
1935   -3.3   -6.3   -3.4   -3.5   -1.8    1.9    5.1    5.2    2.5   -0.1    0.6   -3.4    -3.2    -2.9     4.1     1.0   -0.26
1936   -7.2   -4.9   -6.1   -3.7    1.4    2.7    5.4    6.6    3.3    0.4   -2.1   -7.2    -5.2    -2.8     4.9     0.5   -0.63
1937   -1.2   -6.4   -7.2   -1.2    0.6    2.6    5.1    5.7    3.7   -0.6   -2.2   -0.9    -4.9    -2.6     4.5     0.3   -0.69
1938   -5.4   -3.7   -6.2   -4.2   -1.4    3.4    5.5    5.6    3.8    3.9    0.8    1.4    -3.3    -3.9     4.8     2.8    0.10
