YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923   -9.2  -16.4   -7.5   -4.6    1.7    6.6   13.4    8.5    4.8   -0.6   -9.9  -13.4   -14.1    -3.5     9.5    -1.9   -2.50
1924  -14.4  -17.5  -13.3   -5.1    2.8    7.0   15.2   12.3    6.8    1.3   -9.7   -8.3   -15.1    -5.2    11.5    -0.5   -2.33
1925   -6.8  -15.4  -15.8   -2.0    3.1    8.8   16.0   10.3    5.7   -5.1  -13.1  -16.4   -10.2    -4.9    11.7    -4.2   -1.88
1926  -17.6  -19.9   -6.4   -4.6    2.8    8.5   12.2    9.8    5.3   -6.2   -7.7  -17.5   -18.0    -2.7    10.2    -2.9   -3.35
1927  -15.9  -11.1  -10.9   -5.1    0.9    8.1   15.5   11.1    4.3   -6.9  -14.7  -12.7   -14.8    -5.0    11.6    -5.8   -3.52
1928  -12.6  -11.8   -7.5   -3.1    2.1    8.0   10.0   10.3    5.1   -3.4  -11.1  -16.5   -12.4    -2.8     9.4    -3.1   -2.23
1929  -14.6  -18.2   -9.3   -9.0    3.6    8.5    9.4    9.2    6.0   -0.9   -6.3   -3.4   -16.4    -4.9     9.0    -0.4   -3.17
1930  -11.4  -11.9  -13.0   -3.2    3.7    9.6   13.5   11.6    2.7   -0.8   -6.1  -12.8    -8.9    -4.2    11.6    -1.4   -0.73
1931  -16.3  -12.3  -10.8   -4.6    3.3    5.6   14.7    9.9    3.0   -2.2   -3.7  -10.4   -13.8    -4.0    10.1    -1.0   -2.18
1932  -10.0  -10.3   -9.8   -3.2    0.6    7.4   12.0   10.2    4.4   -3.0   -6.4   -5.7   -10.2    -4.1     9.9    -1.7   -1.54
1933   -7.9  -16.8  -11.5   -6.4    1.8   10.8   14.1   10.7    5.3   -1.4   -8.1  -10.4   -10.1    -5.4    11.9    -1.4   -1.26
1934   -6.3  -14.6   -8.8   -4.6    5.4    8.0   15.8   11.9    8.8    0.3   -7.4   -9.7   -10.4    -2.7    11.9     0.6   -0.16
1935  -14.4  -15.8   -8.6   -3.5    0.4    8.2   12.5   10.1    3.7   -0.1   -2.6   -9.1   -13.3    -3.9    10.3     0.3   -1.65
1936  -16.3  -20.1  -12.7   -3.7    5.6   13.0   12.8   12.0    5.2   -2.9   -4.7   -6.2   -15.2    -3.6    12.6    -0.8   -1.74
1937   -9.0  -18.9  -11.3   -0.1    6.1   12.6   16.5   15.3    4.9    0.1   -8.8  -14.3   -11.4    -1.8    14.8    -1.3    0.10
1938  -14.5   -6.9   -8.8   -1.9    3.5   10.5   17.0   11.2    7.1    1.4   -4.1   -6.7   -11.9    -2.4    12.9     1.5    0.02
1939  -16.5  -11.9   -8.9   -4.9    2.3    8.9   13.2   12.9    3.2   -2.6   -6.4  -19.2   -11.7    -3.8    11.7    -1.9   -1.45
1940  -20.3  -17.5  -14.9   -3.3    7.6   10.7   10.7   11.0    6.4   -0.2  -10.1  -13.5   -19.0    -3.5    10.8    -1.3   -3.26
1941  -18.7  -16.2  -12.6   -6.0    2.2    8.4   17.4   10.5    4.2   -4.9   -5.6  -17.1   -16.1    -5.5    12.1    -2.1   -2.90
1942  -21.7  -17.5  -14.0   -3.3    2.8    9.8   13.5   10.1    4.8   -3.5   -7.9  -15.0   -18.8    -4.8    11.1    -2.2   -3.67
1943  -20.9  -10.0   -7.1   -3.2    3.7   11.3   13.8   10.3    5.3   -2.5   -6.9   -7.1   -15.3    -2.2    11.8    -1.4   -1.77
1944  -13.7  -11.1   -9.1   -6.0    2.3    9.0   12.1    9.7    5.9    0.8   -8.7  -11.9   -10.6    -4.3    10.3    -0.7   -1.32
1945  -17.2  -13.7  -10.4   -2.2    2.7    8.2   14.2   13.1    5.0   -6.7   -9.5  -15.9   -14.3    -3.3    11.8    -3.7   -2.37
1946  -11.7  -19.0  -11.4   -3.6    2.7   11.5   14.2   11.8    7.4   -2.3  -10.9   -4.4   -15.5    -4.1    12.5    -1.9   -2.27
1947  -10.3  -25.3  -16.4   -3.8    2.8   12.3   14.0   10.8    6.5    0.1   -9.6  -15.1   -13.3    -5.8    12.4    -1.0   -1.94
1948  -22.7  -12.0   -7.6   -0.6    5.2    8.5   14.0    8.2    6.2   -1.5   -6.7   -7.6   -16.6    -1.0    10.2    -0.7   -2.01
1949  -11.8   -9.6   -9.7   -2.5    3.5    8.5   10.4    9.0    7.4   -2.3   -2.4  -10.3    -9.7    -2.9     9.3     0.9   -0.59
1950  -17.8  -16.1   -9.6    0.2    3.2   11.4   11.7   12.9    6.3    1.2  -10.3  -11.8   -14.7    -2.1    12.0    -0.9   -1.43
1951  -18.9  -13.3  -11.7   -1.7    0.8    6.6   10.2   13.6    5.7    2.6  -12.8  -16.3   -14.7    -4.2    10.1    -1.5   -2.56
1952  -15.0  -11.7  -13.2   -1.9    2.2   11.2   12.4    7.7    4.9   -2.2   -8.3  -19.0   -14.3    -4.3    10.4    -1.9   -2.52
1953  -14.0  -18.3   -7.1   -1.3    3.4   14.6   12.4   11.2    4.0    0.4   -5.5   -8.3   -17.1    -1.7    12.7    -0.4   -1.60
1954  -14.5  -17.6   -8.2   -2.5    5.7    8.7   14.3   10.1    5.6   -3.7   -8.0   -6.7   -13.5    -1.7    11.0    -2.0   -1.53
1955  -16.1  -21.9  -13.4   -5.9    1.8    6.4   12.2   11.8    6.8   -2.5  -15.1  -22.6   -14.9    -5.8    10.1    -3.6   -3.55
1956  -16.2  -17.4  -10.2   -7.5    4.6   11.4   12.2    8.8    4.2   -3.6  -14.5  -13.9   -18.7    -4.4    10.8    -4.6   -4.23
1957  -10.8  -14.0  -10.5   -1.4    2.6    7.8   15.6   11.4    5.4   -1.7   -6.2  -16.3   -12.9    -3.1    11.6    -0.8   -1.31
1958  -17.6  -16.2  -12.6   -5.1    1.4    8.7   11.3   11.8    5.6    0.1   -3.6  -19.3   -16.7    -5.4    10.6     0.7   -2.71
1959  -15.4   -3.5   -3.6   -5.1    4.6   10.6   13.2   11.7    4.7   -0.5   -6.0  -11.1   -12.7    -1.4    11.8    -0.6   -0.72
1960  -20.9  -20.2   -4.7    0.3    7.6   10.6   17.1   12.4    7.1   -6.0  -10.1  -14.7   -17.4     1.1    13.4    -3.0   -1.49
1961  -13.2  -13.9   -8.6   -6.5    2.7   11.9   14.6   11.8    5.7    3.7   -5.2  -21.0   -13.9    -4.1    12.8     1.4   -0.98
1962  -20.5  -14.9  -18.8   -1.9    2.5    8.6   10.2    9.3    5.1   -1.3   -4.5  -18.4   -18.8    -6.1     9.4    -0.2   -3.93
1963  -15.1  -17.7  -14.0   -2.6    9.5    8.3   11.5   11.4    8.0    1.1   -8.9  -14.1   -17.1    -2.4    10.4     0.1   -2.24
1964   -6.9  -16.7  -10.1   -4.3    4.0    9.1   13.5   10.0    4.2    2.3   -8.0  -12.1   -12.6    -3.5    10.9    -0.5   -1.42
1965  -16.1  -12.1  -13.8   -2.3    0.7    8.8    9.7    9.8    6.2   -1.3  -12.3  -19.1   -13.4    -5.1     9.4    -2.5   -2.90
1966  -21.1  -27.1  -17.8   -5.5    1.9   11.0   14.1    9.7    2.5   -4.5   -5.9  -10.4   -22.4    -7.1    11.6    -2.6   -5.15
1967  -21.6  -12.9   -5.5   -1.9    4.3    9.8   12.8   12.2    7.5   -1.6   -3.1  -21.3   -15.0    -1.0    11.6     0.9   -0.87
1968  -20.3  -17.9  -11.2   -3.5    0.0    8.8    9.8    9.3    3.4   -8.3   -6.0   -7.3   -19.8    -4.9     9.3    -3.6   -4.77
1969  -16.3  -18.6  -12.4   -4.3    2.0    9.8   13.0   12.1    5.1    0.4  -10.6  -15.4   -14.1    -4.9    11.6    -1.7   -2.26
1970  -16.8  -26.0   -8.1   -6.9    4.6   13.0   15.0   12.4    5.6    0.3   -9.6  -11.3   -19.4    -3.5    13.5    -1.2   -2.66
1971  -16.7  -20.1  -15.7   -4.5    2.8    9.7   11.9   11.0    4.4   -2.8  -17.8   -8.8   -16.0    -5.8    10.9    -5.4   -4.09
1972   -8.7  -13.7   -6.4   -2.8    3.4   14.4   16.6   12.4    5.5   -0.6  -11.4   -7.3   -10.4    -1.9    14.5    -2.2   -0.01
1973   -8.9  -16.7   -8.2   -3.0    3.3   11.4   17.2    9.9    2.5   -6.8  -13.3  -19.7   -11.0    -2.6    12.8    -5.9   -1.66
1974  -10.7   -9.3   -5.3   -1.4    3.9   11.8   14.9   11.4    7.4   -1.2   -7.9   -9.3   -13.2    -0.9    12.7    -0.6   -0.51
1975  -17.3  -10.6   -4.5   -2.9    4.7    7.3   10.9    8.9    6.2   -1.1   -6.5  -15.4   -12.4    -0.9     9.0    -0.5   -1.18
1976  -24.0  -11.9  -10.7   -2.3    6.2    8.7   12.7   11.5    2.9   -3.6  -11.3  -14.3   -17.1    -2.3    11.0    -4.0   -3.10
1977  -16.8  -16.3  -10.7   -4.6    2.7    8.4   12.9   10.8    4.1   -3.5   -5.7  -12.6   -15.8    -4.2    10.7    -1.7   -2.75
1978  -20.7  -14.9  -10.9   -4.2    4.4   10.2   12.5   10.1    4.7   -1.7   -9.4  -19.9   -16.1    -3.6    10.9    -2.1   -2.71
1979  -20.5  -15.7   -8.7   -3.4    4.0   11.2   14.7   11.8    5.8   -3.9   -8.5  -11.2   -18.7    -2.7    12.6    -2.2   -2.76
1980  -19.6  -18.6  -12.4   -0.5    3.5   12.7   13.1   11.2    6.4   -2.8  -14.5  -20.4   -16.5    -3.1    12.3    -3.6   -2.73
1981  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1982  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1983  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1984  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1985  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1986  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1987  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1988  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1989  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1990  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1991  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1992  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1993  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1994  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1995  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
