YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923   -9.0   -7.8  -13.7  -13.6   -5.4    3.1    7.0    8.4    5.2    0.6   -7.1   -9.6   -10.2   -10.9     6.2    -0.4   -3.85
1924  -12.3  -10.6  -12.7  -10.3   -0.7    1.9    9.1    7.6    3.5    1.1   -3.9  -10.0   -10.8    -7.9     6.2     0.2   -3.08
1925   -8.9  -12.2  -17.7  -10.9   -6.1    0.4    5.3    4.7    3.9   -3.5  -11.7  -17.0   -10.4   -11.6     3.5    -3.8   -5.56
1926  -12.6  -17.4   -9.4  -10.4   -7.4    1.1    5.6    5.2    2.6   -3.3  -10.5  -13.4   -15.7    -9.1     4.0    -3.7   -6.12
1927  -15.8  -10.8  -15.8  -11.0   -2.9    3.3    5.3    7.3    3.3   -2.1   -9.0  -13.1   -13.3    -9.9     5.3    -2.6   -5.13
1928  -12.5  -10.2  -14.6  -12.9   -5.7    1.4    7.7    8.3    3.7   -4.8   -7.3   -8.9   -11.9   -11.1     5.8    -2.8   -5.00
1929  999.9  -11.9  -21.7  -15.6   -5.5    2.1    5.9    5.4    4.5   -0.2   -3.3   -7.9   -10.6   -14.3     4.5     0.3   -5.02
1930   -8.2  -18.5  -19.2  -11.7   -4.7    1.0    6.9    7.9    2.2   -3.1   -2.1  -10.1   -11.5   -11.9     5.3    -1.0   -4.78
1931  -15.5   -5.5  -16.9  -10.2   -3.6    1.5    7.2    8.8    4.5    0.3   -3.0   -7.5   -10.4   -10.2     5.8     0.6   -3.54
1932  -13.8  -16.6  -17.2   -9.5   -4.2    1.0    5.7    7.3    4.9   -2.7   -7.9  -14.6   -12.6   -10.3     4.7    -1.9   -5.04
1933   -9.2  -15.1  -20.0   -8.6   -5.8    0.5    6.8    6.2    2.6   -1.9  -13.3  -13.8   -13.0   -11.5     4.5    -4.2   -6.03
1934   -5.6  -11.1  -11.4  -10.9   -2.8    1.7    4.6    5.5    2.5   -0.4   -3.9   -8.9   -10.2    -8.4     3.9    -0.6   -3.80
1935  -13.5   -8.8  -13.9  -13.7   -4.5    1.4    6.2    5.4    3.0   -2.3   -3.1   -8.5   -10.4   -10.7     4.3    -0.8   -4.39
1936  -15.5  -20.9  -15.2   -5.9   -2.8    2.6    7.1    8.4    4.2   -0.1   -2.2   -5.7   -15.0    -8.0     6.0     0.6   -4.07
