YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1952  999.9  999.9  999.9  999.9  999.9   -0.9    4.1    0.8   -7.4  -20.0  -24.9  -25.4   999.9   999.9     1.3   -17.4  999.90
1953  -28.1  -30.4  -33.9  -20.9   -9.3    2.3    6.1    2.2   -7.9  -18.2  -20.6  -27.3   -28.0   -21.4     3.5   -15.6  -15.34
1954  -31.2  -28.1  -34.2  -23.8   -9.6   -0.5    2.5    0.9   -7.4  -17.7  -25.0  -26.2   -28.9   -22.5     1.0   -16.7  -16.78
1955  -28.4  -31.6  -28.7  -24.5  999.9    0.1    2.0    1.9   -5.6  -16.1  -27.1  -28.3   -28.7   -21.0     1.3   -16.3  -16.18
1956  -30.7  -28.5  -33.0  -23.1  -15.9   -2.2    6.1    2.3  -10.7  -20.3  -24.0  -20.6   -29.2   -24.0     2.1   -18.3  -17.36
1957  -31.4  -30.6  -28.6  -27.8  -10.3   -1.2    4.7    0.9   -9.6  -15.6  -22.1  -31.7   -27.5   -22.2     1.5   -15.8  -16.02
1958  -24.5  -30.7  -25.8  -24.0  -10.1   -0.4    3.4    2.0   -8.9  -20.1  -24.7  -26.4   -29.0   -20.0     1.7   -17.9  -16.29
1959  -31.6  -31.7  -31.7  -22.8  -11.5   -1.2    1.4   -0.7  -10.4  -18.1  -20.2  -26.5   -29.9   -22.0    -0.2   -16.2  -17.08
1960  -23.7  -31.5  -32.1  -25.2   -8.9    0.0    4.7    1.8   -7.8  -20.0  -26.9  -31.6   -27.2   -22.1     2.2   -18.2  -16.34
1961  -28.9  -32.7  -32.4  -22.3  -15.8   -2.0    3.5    2.4   -8.9  -17.1  -23.4  -28.0   -31.1   -23.5     1.3   -16.5  -17.43
1962  -29.7  -28.7  -26.9  -23.2  -10.0   -1.3    3.7    2.4   -7.3  -18.6  -22.5  -27.9   -28.8   -20.0     1.6   -16.1  -15.84
1963  -30.6  -30.8  -30.4  -22.6  -11.0   -1.5    2.2    3.3  -11.1  -19.4  -26.1  -29.3   -29.8   -21.3     1.3   -18.9  -17.16
1964  -30.5  -30.9  -28.3  -23.3  -13.9   -1.5    2.1    2.5  -10.7  -21.7  -27.5  -25.7   -30.2   -21.8     1.0   -20.0  -17.75
1965  -30.8  -27.3  -29.6  -23.2   -9.6   -1.2    2.5    0.9   -8.6  -18.7  -19.8  -28.0   -27.9   -20.8     0.7   -15.7  -15.93
1966  -32.5  -28.3  -35.3  -25.2   -9.4    0.0    3.9    1.8   -8.3  -23.7  -25.7  -29.2   -29.6   -23.3     1.9   -19.2  -17.56
1967  -31.5  -34.7  -30.7  -18.6   -5.1   -1.4    4.1    2.5   -6.8  -19.4  -26.6  -25.7   -31.8   -18.1     1.7   -17.6  -16.45
1968  -31.0  -33.5  -31.8  -24.4   -8.5   -0.9    1.7    1.2   -9.9  -20.4  -27.3  -30.0   -30.1   -21.6     0.7   -19.2  -17.54
1969  -28.7  -31.4  -34.2  -26.1   -9.1   -1.2  999.9    2.8   -8.8  -17.6  -24.2  -26.8   -30.0   -23.1     1.7   -16.9  -17.08
1970  -32.1  -32.7  -30.8  -25.5  -10.1   -2.0    1.8   -1.0   -8.2  -16.5  -25.4  -29.2   -30.5   -22.1    -0.4   -16.7  -17.44
1971  -35.3  -26.8  -30.0  -20.7  -11.1    1.4    2.3    1.2   -8.1  -20.7  -29.1  -30.2   -30.4   -20.6     1.6   -19.3  -17.18
1972  -24.7  -33.6  -25.8  -26.6  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   -29.5   -20.6   999.9   999.9  999.90
1973  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1974  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1975  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1976  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1977  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1978  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1979  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1980  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1981  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1982  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1983  999.9  999.9  999.9  999.9  999.9  999.9    2.5    0.3   -9.5  -20.6  -26.4  -30.0   999.9   999.9     0.4   -18.8  999.90
1984  -27.0  -26.3  -30.7  -23.8  -10.2   -0.3    3.2    1.6   -8.5  -19.9  -24.2  -21.8   -27.8   -21.6     1.5   -17.5  -16.34
1985  -27.9  -30.4  -30.3  -24.8  -12.4    0.8    4.9    2.1   -7.5  -21.6  -26.3  -26.0   -26.7   -22.5     2.6   -18.5  -16.27
1986  -33.7  -26.3  -31.8  -23.7   -8.5   -0.5    2.8    4.1   -7.6  -20.9  -26.0  -22.6   -28.7   -21.3     2.1   -18.2  -16.51
1987  -27.5  -31.8  -29.8  -21.6   -9.6    0.4    2.5  999.9  999.9  999.9  999.9  999.9   -27.3   -20.3     1.5   999.9  -15.60
1988  -32.2  -27.8  -30.9  -20.3   -7.7    0.7  999.9    4.4   -6.4  -17.5  -24.5  -26.6   -29.1   -19.6     3.5   -16.1  -15.35
1989  -33.0  -31.2  -33.0  -22.6   -9.9    2.0    5.1  999.9   -7.4  -20.5  -25.4  -29.6   -30.3   -21.8     3.6   -17.8  -16.56
1990  -24.7  -31.5  -31.8  -19.7   -7.8    1.2    4.0    3.4   -5.1  -20.9  -20.9  -28.2   -28.6   -19.8     2.9   -15.6  -15.28
1991  -30.4  -33.3  -29.1  -23.2  -10.0    1.5    4.5    2.9   -6.5  -19.2  -23.9  -28.0   -30.6   -20.8     3.0   -16.5  -16.24
1992  -31.7  -29.7  -29.2  -21.7  -12.2   -1.8    2.2   -0.2   -8.0  -19.5  -23.6  -28.7   -29.8   -21.0     0.1   -17.0  -16.95
1993  -34.7  -28.5  -34.5  -21.6  -10.4   -0.6    5.4    2.8   -8.7  -18.5  -22.8  -30.3   -30.6   -22.2     2.5   -16.7  -16.73
