YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923   -8.7  -15.9   -7.0   -4.1    2.2    7.1   13.9    9.0    5.3   -0.1   -9.4  -12.9   -13.6    -3.0    10.0    -1.4   -2.00
1924  -13.9  -17.0  -12.8   -4.6    3.3    7.5   15.7   12.8    7.3    1.8   -9.2   -7.8   -14.6    -4.7    12.0    -0.0   -1.83
1925   -6.3  -14.9  -15.3   -1.5    3.6    9.3   16.5   10.8    6.2   -4.6  -12.6  -15.9    -9.7    -4.4    12.2    -3.7   -1.38
1926  -17.1  -19.4   -5.9   -4.1    3.3    9.0   12.7   10.3    5.8   -5.7   -7.2  -17.0   -17.5    -2.2    10.7    -2.4   -2.85
1927  -15.4  -10.6  -10.4   -4.6    1.4    8.6   16.0   11.6    4.8   -6.4  -14.2  -12.2   -14.3    -4.5    12.1    -5.3   -3.02
1928  -12.1  -11.3   -7.0   -2.6    2.6    8.5   10.5   10.8    5.6   -2.9  -10.6  -16.0   -11.9    -2.3     9.9    -2.6   -1.73
1929  -14.1  -17.7   -8.8   -8.5    4.1    9.0    9.9    9.7    6.5   -0.4   -5.8   -2.9   -15.9    -4.4     9.5     0.1   -2.68
1930  -10.9  -11.4  -12.5   -2.7    4.2   10.1   14.0   12.1    3.2   -0.3   -5.6  -12.3    -8.4    -3.7    12.1    -0.9   -0.23
1931  -15.8  -11.8  -10.3   -4.1    3.8    6.1   15.2   10.4    3.5   -1.7   -3.2   -9.9   -13.3    -3.5    10.6    -0.5   -1.68
1932   -9.5   -9.8   -9.3   -2.7    1.1    7.9   12.5   10.7    4.9   -2.5   -5.9   -5.2    -9.7    -3.6    10.4    -1.2   -1.04
1933   -7.4  -16.3  -11.0   -5.9    2.3   11.3   14.6   11.2    5.8   -0.9   -7.6   -9.9    -9.6    -4.9    12.4    -0.9   -0.76
1934   -5.8  -14.1   -8.3   -4.1    5.9    8.5   16.3   12.4    9.3    0.8   -6.9   -9.2    -9.9    -2.2    12.4     1.1    0.34
1935  -13.9  -15.3   -8.1   -3.0    0.9    8.7   13.0   10.6    4.2    0.4   -2.1   -8.6   -12.8    -3.4    10.8     0.8   -1.15
1936  -15.8  -19.6  -12.2   -3.2    6.1   13.5   13.3   12.5    5.7   -2.4   -4.2   -5.7   -14.7    -3.1    13.1    -0.3   -1.24
1937   -8.5  -18.4  -10.8    0.4    6.6   13.1   17.0   15.8    5.4    0.6   -8.3  -13.8   -10.9    -1.3    15.3    -0.8    0.60
1938  -14.0   -6.4   -8.3   -1.4    4.0   11.0   17.5   11.7    7.6    1.9   -3.6   -6.2   -11.4    -1.9    13.4     2.0    0.52
1939  -16.0  -11.4   -8.4   -4.4    2.8    9.4   13.7   13.4    3.7   -2.1   -5.9  -18.7   -11.2    -3.3    12.2    -1.4   -0.95
1940  -19.8  -17.0  -14.4   -2.8    8.1   11.2   11.2   11.5    6.9    0.3   -9.6  -13.0   -18.5    -3.0    11.3    -0.8   -2.76
1941  -18.2  -15.7  -12.1   -5.5    2.7    8.9   17.9   11.0    4.7   -4.4   -5.1  -16.6   -15.6    -5.0    12.6    -1.6   -2.40
1942  -21.2  -17.0  -13.5   -2.8    3.3   10.3   14.0   10.6    5.3   -3.0   -7.4  -14.5   -18.3    -4.3    11.6    -1.7   -3.17
1943  -20.4   -9.5   -6.6   -2.7    4.2   11.8   14.3   10.8    5.8   -2.0   -6.4   -6.6   -14.8    -1.7    12.3    -0.9   -1.27
1944  -13.2  -10.6   -8.6   -5.5    2.8    9.5   12.6   10.2    6.4    1.3   -8.2  -11.4   -10.1    -3.8    10.8    -0.2   -0.83
1945  -16.7  -13.2   -9.9   -1.7    3.2    8.7   14.7   13.6    5.5   -6.2   -9.0  -15.4   -13.8    -2.8    12.3    -3.2   -1.87
1946  -11.2  -18.5  -10.9   -3.1    3.2   12.0   14.7   12.3    7.9   -1.8  -10.4   -3.9   -15.0    -3.6    13.0    -1.4   -1.77
1947   -9.8  -24.8  -15.9   -3.3    3.3   12.8   14.5   11.3    7.0    0.6   -9.1  -14.6   -12.8    -5.3    12.9    -0.5   -1.44
1948  -22.2  -11.5   -7.1   -0.1    5.7    9.0   14.5    8.7    6.7   -1.0   -6.2   -7.1   -16.1    -0.5    10.7    -0.2   -1.51
1949  -11.3   -9.1   -9.2   -2.0    4.0    9.0   10.9    9.5    7.9   -1.8   -1.9   -9.8    -9.2    -2.4     9.8     1.4   -0.09
1950  -17.3  -15.6   -9.1    0.7    3.7   11.9   12.2   13.4    6.8    1.7   -9.8  -11.3   -14.2    -1.6    12.5    -0.4   -0.93
1951  -18.4  -12.8  -11.2   -1.2    1.3    7.1   10.7   14.1    6.2    3.1  -12.3  -15.8   -14.2    -3.7    10.6    -1.0   -2.06
1952  -14.5  -11.2  -12.7   -1.4    2.7   11.7   12.9    8.2    5.4   -1.7   -7.8  -18.5   -13.8    -3.8    10.9    -1.4   -2.02
1953  -13.5  -17.8   -6.6   -0.8    3.9   15.1   12.9   11.7    4.5    0.9   -5.0   -7.8   -16.6    -1.2    13.2     0.1   -1.10
1954  -14.0  -17.1   -7.7   -2.0    6.2    9.2   14.8   10.6    6.1   -3.2   -7.5   -6.2   -13.0    -1.2    11.5    -1.5   -1.03
