YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923   -8.9  -13.8   -6.2   -3.9    3.2    8.5   14.4    9.1    6.2    0.4   -7.0  -11.0   -12.7    -2.3    10.7    -0.1   -1.13
1924  -12.4  -15.8  -10.7   -3.6    4.2    8.6   17.4   14.4    8.0    3.2   -7.6   -7.6   -13.1    -3.4    13.5     1.2   -0.44
1925   -5.0   -9.8  -12.8   -0.4    5.1   11.3   18.5   11.8    5.6   -3.1  -12.4  -15.0    -7.5    -2.7    13.9    -3.3    0.10
1926  -16.2  -15.6   -6.8   -3.3    4.5   11.4   14.4   12.4    5.5   -4.2   -5.1  -13.8   -15.6    -1.9    12.7    -1.3   -1.50
1927  -15.0  -10.9   -8.5   -2.7    2.9   11.9   17.8   12.5    4.7   -4.9  -13.1  -11.8   -13.2    -2.8    14.1    -4.4   -1.59
1928  -10.9  -10.9   -5.6   -1.7    4.0    9.0   11.5   11.1    5.3   -3.2  -10.5  -11.5   -11.2    -1.1    10.5    -2.8   -1.14
1929  -13.6  -18.7   -8.3   -7.1    5.8   10.5   11.0   10.5    7.1    1.1   -3.0   -2.2   -14.6    -3.2    10.7     1.7   -1.35
1930   -8.1  -12.7  -10.0   -1.5    6.2   12.3   15.7   13.6    3.5    0.4   -5.6  -11.2    -7.7    -1.8    13.9    -0.6    0.97
1931  -14.2  -10.9  -10.2   -2.1    5.8    6.6   15.3   11.3    2.7   -0.5   -1.7   -7.1   -12.1    -2.2    11.1     0.2   -0.76
1932   -7.6  -11.3   -8.3   -1.2    2.6    9.6   14.7   11.8    5.3   -2.7   -3.9   -4.5    -8.7    -2.3    12.0    -0.4    0.16
1933   -9.5  -17.5  -10.8   -4.0    3.1   12.9   15.6   11.1    5.2    0.0   -7.8  -10.6   -10.5    -3.9    13.2    -0.9   -0.52
1934   -5.4  -12.9   -7.1   -3.4    7.2    9.8   16.8   12.5   10.0    1.1   -5.8   -8.0    -9.6    -1.1    13.0     1.8    1.02
1935  -12.6  -12.9   -7.9   -2.6    1.8   10.7   13.9   10.1    4.4    0.0   -1.9   -7.8   -11.2    -2.9    11.6     0.8   -0.42
1936  -15.1  -19.9  -10.6   -2.4    8.0   15.3   13.6   12.5    5.9   -1.9   -2.9   -4.3   -14.3    -1.7    13.8     0.4   -0.44
1937   -8.9  -16.5   -8.6    1.6    7.6   14.0   16.8   15.7    5.7    1.9   -3.7  -11.4    -9.9     0.2    15.5     1.3    1.77
1938  -10.5   -5.5   -5.3   -1.3    5.1   12.0   17.0   12.9    8.4    3.3   -1.1   -4.8    -9.1    -0.5    14.0     3.5    1.97
1939  -12.8   -9.8   -7.8   -3.9    3.5   10.6   14.2   13.4    4.3   -1.0   -2.9  -12.5    -9.1    -2.7    12.7     0.1    0.25
1940  -18.0  -17.3  -14.5   -3.8    8.5   12.8   12.6   11.4    7.1    0.7   -7.5  -12.8   -15.9    -3.3    12.3     0.1   -1.71
1941  -20.5  -14.3  -12.5   -4.9    3.6    9.4   18.0   11.0    4.7   -4.5   -6.6  -18.6   -15.9    -4.6    12.8    -2.1   -2.45
1942  -20.6  -15.5  -14.2   -3.2    3.0   10.2   14.0   11.5    5.9   -1.2   -6.1  -11.9   -18.2    -4.8    11.9    -0.5   -2.90
1943  -17.0   -7.2   -4.4   -1.8    5.6   13.0   14.6   11.4    5.9    0.1   -2.9   -5.8   -12.0    -0.2    13.0     1.0    0.45
1944  -11.2   -8.8   -7.3   -4.9    3.0   10.2   14.0   11.0    6.6    2.3   -4.5   -4.8    -8.6    -3.1    11.7     1.5    0.38
1945  -14.7   -9.1   -9.9   -0.8    3.1    9.3   16.1   14.2    5.3   -4.4   -7.8  -15.3    -9.5    -2.5    13.2    -2.3   -0.29
1946   -9.8  -17.1  -10.2   -2.1    4.4   11.5   15.8   11.9    7.8   -1.7   -8.1   -3.4   -14.1    -2.6    13.1    -0.7   -1.08
1947  -10.4  -20.4  -15.2   -1.8    5.0   14.5   15.4   12.1    7.9    0.5   -8.3  -12.5   -11.4    -4.0    14.0     0.0   -0.34
1948  -17.4  -10.5   -6.8    0.4    6.8   11.5   14.6    9.6    7.1    0.0   -4.9   -6.6   -13.5     0.1    11.9     0.7   -0.18
1949   -9.7   -6.8   -9.1   -1.1    6.3    9.5   12.5   10.7    8.7   -0.3   -2.3   -8.6    -7.7    -1.3    10.9     2.0    0.98
1950  -19.4  -12.9   -6.6    1.1    4.7   12.4   13.3   13.8    7.1    2.9   -4.8   -7.9   -13.6    -0.3    13.2     1.7    0.25
1951  -17.5  -11.9   -9.0   -0.2    1.9    8.6   12.1   14.9    6.7    3.4  -10.4  -10.2   -12.4    -2.4    11.9    -0.1   -0.78
1952   -9.1   -7.1  -11.6   -0.8    3.3   12.4   13.8    8.9    5.0   -2.9   -7.2  -12.9    -8.8    -3.0    11.7    -1.7   -0.46
1953  -12.9  -16.6   -6.6    0.4    5.2   16.3   13.5   12.2    4.5    1.9   -3.9   -3.9   -14.1    -0.3    14.0     0.8    0.09
1954  -11.5  -15.9   -6.2   -2.2    7.2   10.7   16.0   11.4    7.0   -1.3   -8.5   -3.1   -10.4    -0.4    12.7    -0.9    0.23
1955  -15.5  -18.4  -11.3   -5.5    2.3    8.1   14.0   13.4    7.4   -1.7  -12.7  -20.5   -12.3    -4.8    11.8    -2.3   -1.92
1956  -14.6  -18.9   -7.8   -6.6    6.0   12.6   12.8    9.2    4.3   -2.7  -13.0  -11.1   -18.0    -2.8    11.5    -3.8   -3.27
