YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923   -2.7   -4.6   -2.6   -1.9    1.8    6.0    9.4    8.0    6.8    3.5   -0.9   -2.8    -3.9    -0.9     7.8     3.1    1.54
1924   -4.6   -7.0   -4.3   -1.8    2.6    4.4    8.9   11.2    7.6    4.5   -0.1   -1.2    -4.8    -1.2     8.2     4.0    1.55
1925   -1.1   -3.6   -5.3   -1.0    2.0    5.6   10.0    9.5    7.1    1.2   -3.0   -5.1    -2.0    -1.4     8.4     1.8    1.68
1926   -5.1   -6.6   -3.3   -1.7    1.3    4.7    7.3    8.0    7.0    0.4   -1.2   -4.9    -5.6    -1.2     6.7     2.1    0.48
1927   -7.2   -3.5   -4.5   -1.3    1.0    5.4   10.1   10.1    5.7    0.8   -2.5   -3.7    -5.2    -1.6     8.5     1.3    0.77
1928   -4.3   -3.1   -2.2   -0.4    2.1    4.6    9.0    9.5    7.4    0.3   -2.6   -2.9    -3.7    -0.2     7.7     1.7    1.38
1929   -6.0   -5.4   -6.0   -4.8    2.6    4.6    7.6    9.4    7.1    3.0    0.6   -0.3    -4.8    -2.7     7.2     3.6    0.82
1930   -1.7   -3.8   -4.5   -0.8    3.4    6.6    9.7   10.2    4.8    2.5   -0.1   -3.0    -1.9    -0.6     8.8     2.4    2.17
1931   -5.1   -6.1   -4.9   -1.0    2.9    4.2   10.2    9.6    5.2    2.2    0.9   -0.9    -4.7    -1.0     8.0     2.8    1.26
1932   -3.2   -4.8   -4.4   -0.9    1.0    5.1    8.0    9.5    6.4    1.6   -0.8   -0.7    -3.0    -1.4     7.5     2.4    1.38
1933   -2.6   -5.5   -5.3   -1.8    2.1    6.3    9.7   10.0    7.3    2.3   -0.8   -3.3    -2.9    -1.7     8.7     2.9    1.75
1934   -1.9   -5.3   -2.8   -2.5    4.2    5.6   10.1    9.6    9.2    3.6    0.2   -0.4    -3.5    -0.4     8.4     4.3    2.23
1935   -4.2   -4.4   -2.5   -0.6    1.1    6.6    7.7    9.4    5.5    3.3    1.2   -1.6    -3.0    -0.7     7.9     3.3    1.89
1936   -5.4   -7.5   -5.4   -0.5    4.5    8.3    8.4   10.9    6.4    2.5    0.4   -0.6    -4.8    -0.5     9.2     3.1    1.75
1937   -2.4   -5.2   -4.0    1.7    4.2    8.7   10.5   12.7    7.7    4.3   -0.6   -3.9    -2.7     0.6    10.6     3.8    3.08
1938   -3.7   -1.5   -1.9    0.0    3.1    5.9   11.6   10.3    9.3    4.4    1.5   -0.8    -3.0     0.4     9.3     5.1    2.93
1939   -4.1   -4.6   -3.4   -1.6    2.3    6.2    9.2   10.8    4.8    2.0    1.1   -3.8    -3.2    -0.9     8.7     2.6    1.83
1940   -5.9   -7.1   -6.0   -2.8    3.6    5.9    7.9   10.0    7.3    3.0   -1.6   -2.8    -5.6    -1.7     7.9     2.9    0.88
1941   -6.5   -7.0   -6.1   -3.1    0.5    4.9    9.6    9.4    5.9    0.3   -1.2   -6.1    -5.4    -2.9     8.0     1.7    0.33
1942   -6.7   -7.7   -6.9   -1.5    0.5    5.3    8.5    9.1    6.2    2.1   -1.7   -4.1    -6.8    -2.6     7.6     2.2    0.09
1943   -6.1   -3.0   -2.8   -0.7    3.5    6.9    9.8    9.4    6.9    2.0    0.3   -0.8    -4.4    -0.0     8.7     3.1    1.84
1944   -3.1   -3.7   -2.5   -2.3    2.3    5.9    7.2    8.9    7.4    4.2    0.3   -0.5    -2.5    -0.8     7.3     4.0    1.98
1945   -5.3   -4.9   -4.2    0.0    2.4    5.2    9.4   11.2    7.0    0.4   -2.4   -5.6    -3.6    -0.6     8.6     1.7    1.53
1946   -2.6   -8.4   -5.2   -0.8    2.3    6.7    9.5    9.5    8.5    1.4   -1.1    0.3    -5.5    -1.2     8.6     2.9    1.18
1947   -3.3   -7.0   -6.8   -0.5    1.4    6.4    8.8    9.4    7.7    2.7   -0.7   -2.7    -3.3    -2.0     8.2     3.2    1.53
1948   -6.5   -4.7   -4.3    0.3    4.0    6.2    8.8    8.5    7.3    2.8    0.0   -2.3    -4.6     0.0     7.8     3.4    1.64
1949   -3.6   -2.3   -3.5   -0.4    2.6    4.6    7.5    8.5    7.0    1.1    0.7   -2.3    -2.7    -0.4     6.9     2.9    1.66
1950   -3.3   -4.7   -1.7    1.5    2.8    6.0    7.0   10.9    7.9    5.1   -0.7   -1.4    -3.4     0.9     8.0     4.1    2.38
1951   -5.9   -5.6   -3.9    0.7    1.3    5.6    6.9   10.4    6.2    4.9   -2.1   -3.3    -4.3    -0.6     7.6     3.0    1.43
1952   -3.9   -4.3   -5.2   -1.1    1.8    6.8    9.4    7.6    6.5    1.5   -1.4   -4.9    -3.8    -1.5     7.9     2.2    1.20
1953   -5.4   -7.3   -3.6   -0.4    2.6    7.9    8.2   10.0    5.7    3.6    1.3   -0.3    -5.9    -0.5     8.7     3.5    1.48
1954   -2.9   -5.6   -2.7    0.3    3.8    6.2   10.6    8.7    6.9    1.9   -2.0   -0.5    -2.9     0.5     8.5     2.3    2.08
1955   -3.5   -6.6   -5.4   -1.2    2.2    4.9    7.9    9.1    7.0    2.0   -2.9   -8.3    -3.5    -1.5     7.3     2.0    1.08
1956   -5.2   -8.1   -2.5   -2.8    3.3    7.4    7.3    7.4    5.0    1.6   -2.0   -1.6    -7.2    -0.7     7.4     1.5    0.26
1957   -2.9   -2.6   -4.7   -0.3    2.4    5.5   10.4   10.0    6.8    3.0    0.3   -3.9    -2.4    -0.9     8.6     3.4    2.19
1958   -6.4   -4.7   -4.8   -2.0    0.7    5.5    8.5    8.8    6.1    3.0    0.7   -5.5    -5.0    -2.0     7.6     3.3    0.96
1959   -4.3   -1.3   -0.7   -1.5    3.4    7.3    9.6    9.7    5.7    2.5    0.4   -3.4    -3.7     0.4     8.9     2.9    2.11
1960   -4.4   -6.0   -1.5    1.4    4.5    6.7   13.5   10.6    7.7   -0.6   -2.4   -3.5    -4.6     1.5    10.3     1.6    2.18
1961   -3.5   -3.6   -2.2   -2.3    2.0    8.1   10.6   10.2    7.1    6.3    0.3   -4.7    -3.5    -0.8     9.6     4.6    2.46
1962   -5.0   -4.4   -7.0   -0.6    1.6    4.6    8.0    7.8    6.6    2.2    0.9   -3.9    -4.7    -2.0     6.8     3.2    0.83
1963   -5.3   -7.6   -7.3   -0.7    5.7    5.1    8.0    8.2    8.1    3.4   -1.8   -4.3    -5.6    -0.8     7.1     3.2    0.99
1964   -3.4   -6.2   -1.5   -1.6    3.0    6.7   10.8    9.4    6.4    3.9   -2.1   -3.2    -4.6    -0.0     9.0     2.7    1.76
1965   -4.5   -5.2   -5.1   -0.7    0.7    5.7    6.9    7.6    6.4    1.7   -2.2   -4.9    -4.3    -1.7     6.7     2.0    0.68
1966   -7.9   -8.8   -8.0   -2.9    1.0    6.4    9.8    8.6    4.4   -0.2   -0.2   -4.4    -7.2    -3.3     8.3     1.3   -0.22
1967   -6.1   -5.0   -1.1   -0.1    2.6    7.0    9.5   10.3    7.9    2.4    2.1   -4.2    -5.2     0.5     8.9     4.1    2.09
1968   -7.4   -5.5   -4.1   -2.1    0.4    5.1    6.7    8.6    4.1   -1.1   -1.6   -1.8    -5.7    -1.9     6.8     0.5   -0.09
1969   -6.7   -9.7   -4.7   -2.2    0.9    4.6    8.4    9.0    6.5    3.7   -0.8   -3.5    -6.1    -2.0     7.3     3.1    0.60
1970   -3.2   -8.3   -2.4   -2.8    3.0    7.3    9.8   10.7    7.0    3.3   -1.8   -2.3    -5.0    -0.7     9.3     2.8    1.59
1971   -5.3   -6.3   -5.9   -2.3    1.7    4.1    8.8    9.3    5.9    1.2   -4.4   -3.3    -4.6    -2.2     7.4     0.9    0.38
