1924,0.56
1925,0.5
1926,-0.53
1927,-0.4
1928,0.13
1929,0.35
1930,2.09
1931,0.39
1932,0.38
1933,0.53
1934,1.55
1935,0.5
1936,0.54
1937,1.89
1938,2.73
1939,0.84
1940,0.74
1941,0.32
1942,-0.06
1943,0.58
1944,0.94
1945,0.61
1946,0.08
1947,0.36
1948,0.27
1949,0.65
1950,1.79
1951,0.06
1952,0.11
1953,0.65
1954,1.19
1955,-0.6
1956,-0.82
1957,0.47
1958,-0.43
1959,0.76
1960,0.56
1961,1.93
1962,-0.51
1963,0.32
1964,-0.69
1965,0.32
1966,-2.13
1967,0.63
1968,-0.95
1969,0.59
1970,0.61
1971,-1.11
1972,1.0
1973,1.15
1974,0.99
1975,0.53
1976,-0.18
1977,-0.54
1978,-0.62
1979,-0.99
1980,0.22
1981,-0.57
1982,-0.65
1983,0.44
1984,0.93
1985,-0.06
1986,0.16
1987,0.59
1988,0.06
1989,0.98
1990,1.56
1991,2.39
1992,1.55
1993,1.44
1994,1.08
1995,1.87
1996,1.28
1997,0.78
1998,0.74
1999,1.73
2000,1.86
2001,1.01
2002,1.86
2003,1.87
2004,1.53
2005,2.47
2006,2.01
2007,1.7
2008,2.01
2009,1.37
2010,0.59
